fdc_id,food_name,category_id,calories,carbs,protein,fat,fiber
167882,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried",10,195.0,0.0,29.6,7.7,0.0
168298,"Pork, fresh, loin, center loin (chops), boneless, separable lean and fat, cooked, pan-broiled",10,229.0,0.0,26.7,13.6,0.0
168285,"Pork, fresh, loin, center loin (chops), boneless, separable lean only, cooked, pan-broiled",10,162.0,0.0,30.0,4.6,0.0
167828,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted",10,231.0,0.0,27.0,12.8,0.0
168241,"Pork, fresh, loin, center loin (roasts), bone-in, separable lean only, cooked, roasted",10,194.0,0.0,28.6,8.0,0.0
167830,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised",10,261.0,0.0,26.7,16.3,0.0
167831,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled",10,222.0,0.0,24.4,13.0,0.0
168293,"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, pan-fried",10,256.0,0.0,26.8,15.7,0.0
168243,"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, braised",10,208.0,0.0,29.0,9.3,0.0
168244,"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, broiled",10,186.0,0.0,25.8,8.4,0.0
167883,"Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan-fried",10,211.0,0.0,28.8,9.7,0.0
167890,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, braised",10,255.0,0.0,26.3,15.8,0.0
167891,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, broiled",10,260.0,0.0,27.6,15.8,0.0
167892,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, pan-fried",10,273.0,0.0,25.8,18.0,0.0
168303,"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, braised",10,211.0,0.0,28.0,10.1,0.0
168304,"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, broiled",10,216.0,0.0,29.5,10.0,0.0
167893,"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried",10,224.0,0.0,27.7,11.8,0.0
167832,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted",10,248.0,0.0,27.0,14.7,0.0
168245,"Pork, fresh, loin, center rib (roasts), bone-in, separable lean only, cooked, roasted",10,206.0,0.0,28.8,9.2,0.0
168301,"Pork, fresh, loin, center rib (roasts), boneless, separable lean and fat, cooked, roasted",10,252.0,0.0,27.0,15.2,0.0
167894,"Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted",10,214.0,0.0,28.8,10.1,0.0
169200,"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, broiled",10,260.0,0.0,25.6,17.6,0.0
167897,"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted",10,359.0,0.0,21.8,29.5,0.0
169199,"Pork, fresh, loin, country-style ribs, separable lean and fat, boneless, cooked, broiled",10,247.0,0.0,26.3,15.7,0.0
169201,"Pork, fresh, loin, country-style ribs, separable lean and fat, boneless, cooked, roasted",10,270.0,0.0,26.4,18.3,0.0
167896,"Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised",10,273.0,0.0,26.5,17.7,0.0
168378,"Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, broiled",10,216.0,0.0,27.8,11.6,0.0
168307,"Pork, fresh, loin, country-style ribs, separable lean only, bone-in, cooked, roasted",10,227.0,0.0,29.2,11.4,0.0
169197,"Pork, fresh, loin, country-style ribs, separable lean only, boneless, cooked, broiled",10,216.0,0.0,27.8,11.6,0.0
168379,"Pork, fresh, loin, country-style ribs, separable lean only, boneless, cooked, roasted",10,219.0,0.0,29.2,11.4,0.0
168306,"Pork, fresh, loin, country-style ribs, separable lean only, cooked, braised",10,247.0,0.0,27.7,14.3,0.0
167834,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised",10,234.0,0.0,28.8,12.3,0.0
167835,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled",10,222.0,0.0,27.0,11.8,0.0
167838,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised",10,195.0,0.0,31.0,6.9,0.0
168247,"Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, broiled",10,174.0,0.0,29.3,5.4,0.0
167898,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised",10,171.0,0.0,28.4,5.5,0.0
167899,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled",10,170.0,0.0,28.2,5.5,0.0
168309,"Pork, fresh, loin, sirloin (chops), boneless, separable lean only, cooked, braised",10,163.0,0.0,28.8,4.5,0.0
168310,"Pork, fresh, loin, sirloin (chops), boneless, separable lean only, cooked, broiled",10,161.0,0.0,28.6,4.4,0.0
167836,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted",10,230.0,0.0,26.6,12.9,0.0
168248,"Pork, fresh, loin, sirloin (roasts), bone-in, separable lean only, cooked, roasted",10,204.0,0.0,27.8,9.4,0.0
167900,"Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted",10,192.0,0.0,29.6,7.3,0.0
168311,"Pork, fresh, loin, sirloin (roasts), boneless, separable lean only, cooked, roasted",10,178.0,0.0,30.4,5.3,0.0
167904,"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled",10,201.0,0.0,29.9,8.1,0.0
167905,"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted",10,147.0,0.0,26.0,4.0,0.0
169185,"Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, cooked, roasted",10,121.0,0.3,21.5,3.7,0.0
168313,"Pork, fresh, loin, tenderloin, separable lean only, cooked, broiled",10,187.0,0.0,30.4,6.3,0.0
168250,"Pork, fresh, loin, tenderloin, separable lean only, cooked, roasted",10,143.0,0.0,26.2,3.5,0.0
169180,"Pork, fresh, loin, tenderloin, separable lean only, with added solution, cooked, roasted",10,116.0,0.3,21.6,3.2,0.0
167840,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised",10,200.0,0.0,29.2,8.3,0.0
167841,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled",10,196.0,0.0,26.6,9.1,0.0
167887,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, pan-fried",10,196.0,0.0,29.4,7.9,0.0
169183,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, broiled",10,198.0,0.0,28.3,9.4,0.0
167913,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled",10,190.0,0.0,28.4,7.7,0.0
168252,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, braised",10,170.0,0.0,30.5,4.3,0.0
168253,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, broiled",10,173.0,0.0,27.6,6.1,0.0
168294,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, cooked, pan-fried",10,172.0,0.0,30.5,4.6,0.0
168364,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, broiled",10,170.0,0.0,29.6,5.7,0.0
167912,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, pan-broiled",10,169.0,0.0,29.0,5.0,0.0
167842,"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted",10,192.0,0.0,26.4,8.8,0.0
168254,"Pork, fresh, loin, top loin (roasts), boneless, separable lean only, cooked, roasted",10,173.0,0.0,27.2,6.3,0.0
167819,"Pork, fresh, loin, whole, separable lean and fat, cooked, braised",10,239.0,0.0,27.2,13.6,0.0
167820,"Pork, fresh, loin, whole, separable lean and fat, cooked, broiled",10,242.0,0.0,27.3,13.9,0.0
167821,"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",10,248.0,0.0,27.1,14.6,0.0
168231,"Pork, fresh, loin, whole, separable lean only, cooked, braised",10,204.0,0.0,28.6,9.1,0.0
168232,"Pork, fresh, loin, whole, separable lean only, cooked, broiled",10,210.0,0.0,28.6,9.8,0.0
168233,"Pork, fresh, loin, whole, separable lean only, cooked, roasted",10,209.0,0.0,28.6,9.6,0.0
168221,"Pork, fresh, separable fat, cooked",10,626.0,0.0,7.1,66.1,0.0
167850,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, cooked, braised",10,267.0,0.0,25.1,17.7,0.0
168366,"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, with added solution, cooked, braised",10,263.0,0.0,25.8,16.9,0.0
